date,count,username,secretion_type
2023-05-05,1,HelloImNavy,"0"
2023-05-05,1,Jotajotahs,"0"
2023-05-05,1,Zeonx91,"0"
2023-05-05,1,esloooz,"0"
2023-05-05,1,quimikuaxh,"0"
2023-05-06,1,AntiaMsv,"0"
2023-05-06,1,HelloImNavy,"0"
2023-05-06,1,Jotajotahs,"0"
2023-05-06,1,Zeonx91,"0"
2023-05-06,1,esloooz,"0"
2023-05-06,1,quimikuaxh,"0"
2023-05-07,2,HelloImNavy,"0"
2023-05-07,1,Jotajotahs,"0"
2023-05-07,1,Zeonx91,"0"
2023-05-07,1,esloooz,"0"
2023-05-07,1,quimikuaxh,"0"
2023-05-08,2,AntiaMsv,"0"
2023-05-08,1,HelloImNavy,"0"
2023-05-08,1,Jotajotahs,"0"
2023-05-08,2,Thybak,"0"
2023-05-08,2,Zeonx91,"0"
2023-05-08,1,esloooz,"0"
2023-05-08,1,quimikuaxh,"0"
2023-05-09,1,HelloImNavy,"0"
2023-05-09,2,Thybak,"0"
2023-05-09,1,Zeonx91,"0"
2023-05-09,1,esloooz,"0"
2023-05-09,1,quimikuaxh,"0"
2023-05-10,2,AntiaMsv,"0"
2023-05-10,2,HelloImNavy,"0"
2023-05-10,1,Thybak,"0"
2023-05-10,3,Zeonx91,"0"
2023-05-10,1,esloooz,"0"
2023-05-10,2,quimikuaxh,"0"
2023-05-11,2,AntiaMsv,"0"
2023-05-11,1,HelloImNavy,"0"
2023-05-11,1,Jotajotahs,"0"
2023-05-11,2,Thybak,"0"
2023-05-11,1,Zeonx91,"0"
2023-05-11,1,esloooz,"0"
2023-05-11,1,quimikuaxh,"0"
2023-05-12,1,AntiaMsv,"0"
2023-05-12,1,HelloImNavy,"0"
2023-05-12,1,Jotajotahs,"0"
2023-05-12,2,Zeonx91,"0"
2023-05-12,1,esloooz,"0"
2023-05-12,1,quimikuaxh,"0"
2023-05-13,1,Jotajotahs,"0"
2023-05-13,1,esloooz,"0"
2023-05-13,1,quimikuaxh,"0"
2023-05-14,2,AntiaMsv,"0"
2023-05-14,1,HelloImNavy,"0"
2023-05-14,1,Jotajotahs,"0"
2023-05-14,1,Thybak,"0"
2023-05-14,2,Zeonx91,"0"
2023-05-14,2,esloooz,"0"
2023-05-14,1,quimikuaxh,"0"
2023-05-15,1,AntiaMsv,"0"
2023-05-15,2,Jotajotahs,"0"
2023-05-15,1,Thybak,"0"
2023-05-15,1,Zeonx91,"0"
2023-05-15,2,esloooz,"0"
2023-05-15,1,quimikuaxh,"0"
2023-05-16,1,AntiaMsv,"0"
2023-05-16,1,HelloImNavy,"0"
2023-05-16,1,Thybak,"0"
2023-05-16,2,Zeonx91,"0"
2023-05-16,1,esloooz,"0"
2023-05-17,1,AntiaMsv,"0"
2023-05-17,1,HelloImNavy,"0"
2023-05-17,1,Jotajotahs,"0"
2023-05-17,2,Thybak,"0"
2023-05-17,2,Zeonx91,"0"
2023-05-17,1,esloooz,"0"
2023-05-17,1,quimikuaxh,"0"
2023-05-18,2,AntiaMsv,"0"
2023-05-18,1,HelloImNavy,"0"
2023-05-18,2,Jotajotahs,"0"
2023-05-18,2,Thybak,"0"
2023-05-18,2,Zeonx91,"0"
2023-05-18,3,esloooz,"0"
2023-05-18,1,quimikuaxh,"0"
2023-05-19,1,AntiaMsv,"0"
2023-05-19,1,Zeonx91,"0"
2023-05-19,1,esloooz,"0"
2023-05-19,1,quimikuaxh,"0"
2023-05-20,1,AntiaMsv,"0"
2023-05-20,2,Jotajotahs,"0"
2023-05-20,1,Thybak,"0"
2023-05-20,2,Zeonx91,"0"
2023-05-20,2,esloooz,"0"
2023-05-20,1,quimikuaxh,"0"
2023-05-21,2,HelloImNavy,"0"
2023-05-21,1,Jotajotahs,"0"
2023-05-21,1,Thybak,"0"
2023-05-21,1,Zeonx91,"0"
2023-05-21,2,esloooz,"0"
2023-05-21,1,quimikuaxh,"0"
2023-05-22,1,AntiaMsv,"0"
2023-05-22,2,HelloImNavy,"0"
2023-05-22,1,Thybak,"0"
2023-05-22,1,Zeonx91,"0"
2023-05-22,1,esloooz,"0"
2023-05-22,1,quimikuaxh,"0"
2023-05-23,2,AntiaMsv,"0"
2023-05-23,1,HelloImNavy,"0"
2023-05-23,1,Jotajotahs,"0"
2023-05-23,1,Zeonx91,"0"
2023-05-23,1,esloooz,"0"
2023-05-23,2,quimikuaxh,"0"
2023-05-24,4,AntiaMsv,"0"
2023-05-24,2,HelloImNavy,"0"
2023-05-24,1,Jotajotahs,"0"
2023-05-24,3,Thybak,"0"
2023-05-24,2,Zeonx91,"0"
2023-05-24,2,esloooz,"0"
2023-05-24,1,quimikuaxh,"0"
2023-05-25,2,AntiaMsv,"0"
2023-05-25,1,HelloImNavy,"0"
2023-05-25,1,Jotajotahs,"0"
2023-05-25,2,Thybak,"0"
2023-05-25,2,Yovarana,"0"
2023-05-25,1,Zeonx91,"0"
2023-05-25,2,esloooz,"0"
2023-05-25,2,quimikuaxh,"0"
2023-05-26,1,HelloImNavy,"0"
2023-05-26,1,Jotajotahs,"0"
2023-05-26,1,Thybak,"0"
2023-05-26,2,Yovarana,"0"
2023-05-26,3,Zeonx91,"0"
2023-05-26,1,esloooz,"0"
2023-05-26,1,quimikuaxh,"0"
2023-05-27,1,AntiaMsv,"0"
2023-05-27,1,HelloImNavy,"0"
2023-05-27,1,Jotajotahs,"0"
2023-05-27,2,Thybak,"0"
2023-05-27,1,Yovarana,"0"
2023-05-27,2,Zeonx91,"0"
2023-05-27,1,esloooz,"0"
2023-05-27,1,quimikuaxh,"0"
2023-05-28,1,AntiaMsv,"0"
2023-05-28,2,Jotajotahs,"0"
2023-05-28,2,Thybak,"0"
2023-05-28,1,Zeonx91,"0"
2023-05-28,2,esloooz,"0"
2023-05-28,1,quimikuaxh,"0"
2023-05-29,2,AntiaMsv,"0"
2023-05-29,1,HelloImNavy,"0"
2023-05-29,1,Jotajotahs,"0"
2023-05-29,1,Thybak,"0"
2023-05-29,2,Yovarana,"0"
2023-05-29,1,Zeonx91,"0"
2023-05-29,2,esloooz,"0"
2023-05-29,2,quimikuaxh,"0"
2023-05-30,1,AntiaMsv,"0"
